provider,price,additional,zone
TDS Baja,20 x 4 $99,* includes 1 static IP address,A
TDS Baja,45 x 4 $149,* includes 1 static IP address,A
TDS Baja,60 x 5 $225,* includes 1 static IP address,A
TDS Baja,100 x 10 $499,* includes 1 static IP address,A
