zip,provider,zone
02347,Comcast,A
02349,Comcast,A
02350,Comcast,A
02351,Comcast,A
02355,Comcast,A
02356,Comcast,A
02358,Comcast,A
02359,Comcast,A
02360,Comcast,A
02361,Comcast,A
02362,Comcast,A
02364,Comcast,A
02366,Comcast,A
02367,Comcast,A
02368,Comcast,A
02370,Comcast,A
02375,Comcast,A
02379,Comcast,A
02381,Comcast,A
02382,Comcast,A
02401,Comcast,A
02402,Comcast,A
02420,Comcast,A
02421,Comcast,A
02445,Comcast,A
02446,Comcast,A
02451,Comcast,A
02452,Comcast,A
02453,Comcast,A
02454,Comcast,A
02457,Comcast,A
02458,Comcast,A
02459,Comcast,A
02460,Comcast,A
02461,Comcast,A
02462,Comcast,A
02464,Comcast,A
02465,Comcast,A
02466,Comcast,A
02467,Comcast,A
02468,Comcast,A
02472,Comcast,A
02474,Comcast,A
02476,Comcast,A
02478,Comcast,A
02481,Comcast,A
02482,Comcast,A
02492,Comcast,A
02493,Comcast,A
02494,Comcast,A
02532,Comcast,A
02534,Comcast,A
02535,Comcast,A
02536,Comcast,A
02537,Comcast,A
02538,Comcast,A
02539,Comcast,A
02540,Comcast,A
02541,Comcast,A
02542,Comcast,A
02543,Comcast,A
02552,Comcast,A
02553,Comcast,A
02554,Comcast,A
02556,Comcast,A
02557,Comcast,A
02558,Comcast,A
02559,Comcast,A
02561,Comcast,A
02562,Comcast,A
02563,Comcast,A
02564,Comcast,A
02568,Comcast,A
02571,Comcast,A
02573,Comcast,A
02574,Comcast,A
02575,Comcast,A
02576,Comcast,A
02576,Comcast,A
02601,Comcast,A
02630,Comcast,A
02631,Comcast,A
02632,Comcast,A
02633,Comcast,A
02635,Comcast,A
02636,Comcast,A
02637,Comcast,A
02638,Comcast,A
02639,Comcast,A
02639,Comcast,A
02641,Comcast,A
02642,Comcast,A
02643,Comcast,A
02644,Comcast,A
02645,Comcast,A
02646,Comcast,A
02647,Comcast,A
02648,Comcast,A
02649,Comcast,A
02650,Comcast,A
02651,Comcast,A
02652,Comcast,A
02653,Comcast,A
02655,Comcast,A
02657,Comcast,A
02659,Comcast,A
02660,Comcast,A
02661,Comcast,A
02662,Comcast,A
02663,Comcast,A
02664,Comcast,A
02666,Comcast,A
02667,Comcast,A
02668,Comcast,A
02669,Comcast,A
02670,Comcast,A
02671,Comcast,A
02672,Comcast,A
02673,Comcast,A
02675,Comcast,A
02702,Comcast,A
02703,Comcast,A
02713,Comcast,A
02714,Comcast,A
02715,Comcast,A
02717,Comcast,A
02718,Comcast,A
02719,Comcast,A
02720,Comcast,A
02721,Comcast,A
02722,Comcast,A
02723,Comcast,A
02724,Comcast,A
02725,Comcast,A
02726,Comcast,A
02738,Comcast,A
02739,Comcast,A
02740,Comcast,A
02742,Comcast,A
02743,Comcast,A
02744,Comcast,A
02745,Comcast,A
02746,Comcast,A
02747,Comcast,A
02748,Comcast,A
02760,Comcast,A
02762,Comcast,A
02763,Comcast,A
02764,Comcast,A
02766,Comcast,A
02767,Comcast,A
02768,Comcast,A
02769,Comcast,A
02770,Comcast,A
02771,Comcast,A
02777,Comcast,A
02779,Comcast,A
02780,Comcast,A
02790,Comcast,A
03031,Comcast,A
03032,Comcast,A
03034,Comcast,A
03036,Comcast,A
03038,Comcast,A
03042,Comcast,A
03043,Comcast,A
03044,Comcast,A
03045,Comcast,A
03048,Comcast,A
03051,Comcast,A
03052,Comcast,A
03053,Comcast,A
03054,Comcast,A
03055,Comcast,A
03057,Comcast,A
03060,Comcast,A
03062,Comcast,A
03063,Comcast,A
03064,Comcast,A
03070,Comcast,A
03071,Comcast,A
03076,Comcast,A
03077,Comcast,A
03079,Comcast,A
03084,Comcast,A
03086,Comcast,A
03087,Comcast,A
03101,Comcast,A
03102,Comcast,A
03103,Comcast,A
03104,Comcast,A
03106,Comcast,A
03107,Comcast,A
03108,Comcast,A
03109,Comcast,A
03110,Comcast,A
03111,Comcast,A
03216,Comcast,A
03224,Comcast,A
03229,Comcast,A
03230,Comcast,A
03242,Comcast,A
03243,Comcast,A
03244,Comcast,A
03257,Comcast,A
03258,Comcast,A
03262,Comcast,A
03268,Comcast,A
03275,Comcast,A
03281,Comcast,A
03287,Comcast,A
03290,Comcast,A
03301,Comcast,A
03302,Comcast,A
03303,Comcast,A
03304,Comcast,A
03305,Comcast,A
03307,Comcast,A
03440,Comcast,A
03442,Comcast,A
03449,Comcast,A
03451,Comcast,A
03452,Comcast,A
03452,Comcast,A
03458,Comcast,A
03466,Comcast,A
03468,Comcast,A
03470,Comcast,A
03588,Comcast,A
03602,Comcast,A
03603,Comcast,A
03604,Comcast,A
03608,Comcast,A
03609,Comcast,A
03741,Comcast,A
03743,Comcast,A
03745,Comcast,A
03746,Comcast,A
03748,Comcast,A
03751,Comcast,A
03753,Comcast,A
03755,Comcast,A
03756,Comcast,A
03766,Comcast,A
03770,Comcast,A
03773,Comcast,A
03781,Comcast,A
03782,Comcast,A
03801,Comcast,A
03803,Comcast,A
03804,Comcast,A
03811,Comcast,A
03819,Comcast,A
03820,Comcast,A
03821,Comcast,A
03822,Comcast,A
03823,Comcast,A
03824,Comcast,A
03826,Comcast,A
03827,Comcast,A
03833,Comcast,A
03840,Comcast,A
03841,Comcast,A
03842,Comcast,A
03844,Comcast,A
03848,Comcast,A
03854,Comcast,A
03856,Comcast,A
03857,Comcast,A
03858,Comcast,A
03862,Comcast,A
03865,Comcast,A
03869,Comcast,A
03870,Comcast,A
03871,Comcast,A
03873,Comcast,A
03874,Comcast,A
03878,Comcast,A
03885,Comcast,A
03901,Comcast,A
03903,Comcast,A
03904,Comcast,A
03905,Comcast,A
03908,Comcast,A
04010,Comcast,A
05001,Comcast,A
05009,Comcast,A
05030,Comcast,A
05032,Comcast,A
05034,Comcast,A
05035,Comcast,A
05041,Comcast,A
05047,Comcast,A
05048,Comcast,A
05049,Comcast,A
05052,Comcast,A
05055,Comcast,A
05056,Comcast,A
05059,Comcast,A
05060,Comcast,A
05061,Comcast,A
05062,Comcast,A
05071,Comcast,A
05073,Comcast,A
05084,Comcast,A
05088,Comcast,A
05089,Comcast,A
05091,Comcast,A
05101,Comcast,A
05141,Comcast,A
05142,Comcast,A
05143,Comcast,A
05144,Comcast,A
05146,Comcast,A
05148,Comcast,A
05149,Comcast,A
05150,Comcast,A
05151,Comcast,A
05152,Comcast,A
05153,Comcast,A
05154,Comcast,A
05155,Comcast,A
05156,Comcast,A
05158,Comcast,A
05161,Comcast,A
05201,Comcast,A
05250,Comcast,A
05251,Comcast,A
05252,Comcast,A
05253,Comcast,A
05254,Comcast,A
05255,Comcast,A
05257,Comcast,A
05260,Comcast,A
05261,Comcast,A
05262,Comcast,A
05301,Comcast,A
05302,Comcast,A
05303,Comcast,A
05304,Comcast,A
05340,Comcast,A
05343,Comcast,A
05354,Comcast,A
05401,Comcast,A
05402,Comcast,A
05403,Comcast,A
05404,Comcast,A
05405,Comcast,A
05406,Comcast,A
05407,Comcast,A
05439,Comcast,A
05441,Comcast,A
05443,Comcast,A
05445,Comcast,A
05446,Comcast,A
05448,Comcast,A
05449,Comcast,A
05450,Comcast,A
05451,Comcast,A
05452,Comcast,A
05453,Comcast,A
05454,Comcast,A
05456,Comcast,A
05457,Comcast,A
05459,Comcast,A
05460,Comcast,A
05461,Comcast,A
05462,Comcast,A
05465,Comcast,A
05466,Comcast,A
05468,Comcast,A
05469,Comcast,A
05472,Comcast,A
05473,Comcast,A
05476,Comcast,A
05477,Comcast,A
05478,Comcast,A
05479,Comcast,A
05481,Comcast,A
05482,Comcast,A
05483,Comcast,A
05485,Comcast,A
05487,Comcast,A
05488,Comcast,A
05489,Comcast,A
05490,Comcast,A
05491,Comcast,A
05495,Comcast,A
05601,Comcast,A
05602,Comcast,A
05603,Comcast,A
05604,Comcast,A
05609,Comcast,A
05620,Comcast,A
05633,Comcast,A
05641,Comcast,A
05648,Comcast,A
05650,Comcast,A
05651,Comcast,A
05655,Comcast,A
05656,Comcast,A
05657,Comcast,A
05661,Comcast,A
05665,Comcast,A
05666,Comcast,A
05667,Comcast,A
05671,Comcast,A
05676,Comcast,A
05677,Comcast,A
05681,Comcast,A
05682,Comcast,A
05701,Comcast,A
05702,Comcast,A
05732,Comcast,A
05733,Comcast,A
05735,Comcast,A
05736,Comcast,A
05737,Comcast,A
