provider,price,zone
Comcast,16x3 $129 MRC,A
Comcast,25x10 $149 MRC,A
Comcast,50x10 $169 MRC,A
Comcast,75x15 $199 MRC,A
Comcast,100x20 $275 MRC,A
Comcast,150x20 $349 MRC,A
