zip,provider,zone
90712,Charter,A
90713,Charter,A
90715,Charter,A
90716,Charter,A
90720,Charter,A
90723,Charter,A
90740,Charter,A
90744,Charter,A
90755,Charter,A
90802,Charter,A
90803,Charter,A
90804,Charter,A
90805,Charter,A
90806,Charter,A
90807,Charter,A
90808,Charter,A
90809,Charter,A
90810,Charter,A
90813,Charter,A
90814,Charter,A
90815,Charter,A
90822,Charter,A
90831,Charter,A
90832,Charter,A
90840,Charter,A
90844,Charter,A
91001,Charter,A
91003,Charter,A
91006,Charter,A
91007,Charter,A
91008,Charter,A
91010,Charter,A
91011,Charter,A
91016,Charter,A
91020,Charter,A
91021,Charter,A
91024,Charter,A
91030,Charter,A
91042,Charter,A
91046,Charter,A
91101,Charter,A
91102,Charter,A
91103,Charter,A
91104,Charter,A
91105,Charter,A
91106,Charter,A
91107,Charter,A
91108,Charter,A
91109,Charter,A
91121,Charter,A
91123,Charter,A
91124,Charter,A
91125,Charter,A
91182,Charter,A
91188,Charter,A
91201,Charter,A
91202,Charter,A
91203,Charter,A
91204,Charter,A
91205,Charter,A
91206,Charter,A
91207,Charter,A
91208,Charter,A
91209,Charter,A
91210,Charter,A
91214,Charter,A
91221,Charter,A
91222,Charter,A
91226,Charter,A
91301,Charter,A
91302,Charter,A
91306,Charter,A
91307,Charter,A
91316,Charter,A
91320,Charter,A
91352,Charter,A
91355,Charter,A
91360,Charter,A
91361,Charter,A
91364,Charter,A
91367,Charter,A
91377,Charter,A
91501,Charter,A
91502,Charter,A
91504,Charter,A
91505,Charter,A
91506,Charter,A
91521,Charter,A
91522,Charter,A
91523,Charter,A
91601,Charter,A
91602,Charter,A
91604,Charter,A
91605,Charter,A
91606,Charter,A
91610,Charter,A
91701,Charter,A
91702,Charter,A
91706,Charter,A
91722,Charter,A
91723,Charter,A
91724,Charter,A
91729,Charter,A
91730,Charter,A
91731,Charter,A
91733,Charter,A
91737,Charter,A
91739,Charter,A
91740,Charter,A
91741,Charter,A
91744,Charter,A
91746,Charter,A
91748,Charter,A
91752,Charter,A
91754,Charter,A
91755,Charter,A
91761,Charter,A
91762,Charter,A
91764,Charter,A
91768,Charter,A
91770,Charter,A
91773,Charter,A
91775,Charter,A
91776,Charter,A
91778,Charter,A
91780,Charter,A
91784,Charter,A
91788,Charter,A
91789,Charter,A
91790,Charter,A
91791,Charter,A
91792,Charter,A
91793,Charter,A
91801,Charter,A
91802,Charter,A
91803,Charter,A
92101,Charter,A
92201,Charter,A
92301,Charter,A
92305,Charter,A
92307,Charter,A
92308,Charter,A
92314,Charter,A
92315,Charter,A
92316,Charter,A
92317,Charter,A
92321,Charter,A
92322,Charter,A
92325,Charter,A
92326,Charter,A
92333,Charter,A
92335,Charter,A
92336,Charter,A
92337,Charter,A
92339,Charter,A
92340,Charter,A
92341,Charter,A
92342,Charter,A
92344,Charter,A
92345,Charter,A
92352,Charter,A
92359,Charter,A
92368,Charter,A
92371,Charter,A
92372,Charter,A
92378,Charter,A
92382,Charter,A
92385,Charter,A
92386,Charter,A
92391,Charter,A
92392,Charter,A
92394,Charter,A
92395,Charter,A
92397,Charter,A
92399,Charter,A
92404,Charter,A
92405,Charter,A
92407,Charter,A
92408,Charter,A
92415,Charter,A
92501,Charter,A
92503,Charter,A
92504,Charter,A
92505,Charter,A
92506,Charter,A
92507,Charter,A
92508,Charter,A
92509,Charter,A
92514,Charter,A
92518,Charter,A
92521,Charter,A
92522,Charter,A
92530,Charter,A
92545,Charter,A
92583,Charter,A
92606,Charter,A
92614,Charter,A
92617,Charter,A
92618,Charter,A
92626,Charter,A
92646,Charter,A
92648,Charter,A
92656,Charter,A
92780,Charter,A
92860,Charter,A
92865,Charter,A
92868,Charter,A
92879,Charter,A
92880,Charter,A
92883,Charter,A
93001,Charter,A
93003,Charter,A
93022,Charter,A
93036,Charter,A
93063,Charter,A
93065,Charter,A
93105,Charter,A
93201,Charter,A
93208,Charter,A
93218,Charter,A
93219,Charter,A
93221,Charter,A
93223,Charter,A
93235,Charter,A
93244,Charter,A
93247,Charter,A
93256,Charter,A
93257,Charter,A
93261,Charter,A
93265,Charter,A
93267,Charter,A
93270,Charter,A
93271,Charter,A
93272,Charter,A
93274,Charter,A
93286,Charter,A
93291,Charter,A
93292,Charter,A
93308,Charter,A
93401,Charter,A
93402,Charter,A
93405,Charter,A
93407,Charter,A
93408,Charter,A
93410,Charter,A
93420,Charter,A
93422,Charter,A
93424,Charter,A
93428,Charter,A
93430,Charter,A
93433,Charter,A
93434,Charter,A
93442,Charter,A
93444,Charter,A
93445,Charter,A
93446,Charter,A
93449,Charter,A
93451,Charter,A
93453,Charter,A
93454,Charter,A
93465,Charter,A
93501,Charter,A
93505,Charter,A
93516,Charter,A
93523,Charter,A
93524,Charter,A
93534,Charter,A
93560,Charter,A
93615,Charter,A
93618,Charter,A
93635,Charter,A
93646,Charter,A
93647,Charter,A
93901,Charter,A
93902,Charter,A
93905,Charter,A
93906,Charter,A
93907,Charter,A
93908,Charter,A
93923,Charter,A
93924,Charter,A
93925,Charter,A
93926,Charter,A
93927,Charter,A
93930,Charter,A
93940,Charter,A
93960,Charter,A
94105,Charter,A
94110,Charter,A
94583,Charter,A
94588,Charter,A
95003,Charter,A
95004,Charter,A
95010,Charter,A
95012,Charter,A
95019,Charter,A
95020,Charter,A
95023,Charter,A
95037,Charter,A
95038,Charter,A
95039,Charter,A
95045,Charter,A
95046,Charter,A
95060,Charter,A
95062,Charter,A
95065,Charter,A
95073,Charter,A
95075,Charter,A
95076,Charter,A
95119,Charter,A
95131,Charter,A
95139,Charter,A
95206,Charter,A
95307,Charter,A
95315,Charter,A
95316,Charter,A
95319,Charter,A
95320,Charter,A
95323,Charter,A
